Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
HSF4_0H_1_1	77.39850146987885	49.0	140.9599080640392	141	18.181818181818183	75.48624
HSF4_0H_1_2	77.05932326375111	49.0	140.95723650429537	141	18.181818181818183	75.48624
HSF4_0H_2_1	75.16062291249125	49.0	141.244607226743	141	18.181818181818183	60.409039
HSF4_0H_2_2	75.06081270099358	49.0	141.2271579340966	141	18.181818181818183	60.409039
HSF4_0H_3_1	75.10337025366731	48.0	141.05554723057602	141	18.181818181818183	58.138281
HSF4_0H_3_2	74.89700584113616	48.0	141.05408633426916	141	18.181818181818183	58.138281
HSF4_2H_1_1	74.60572249624018	49.0	141.2190559866001	141	18.181818181818183	62.362207999999995
HSF4_2H_1_2	74.39127458916012	49.0	141.2028227416194	141	18.181818181818183	62.362207999999995
HSF4_2H_2_1	74.8192110944544	48.0	141.20440320944948	141	18.181818181818183	59.318709
HSF4_2H_2_2	74.52467946418892	48.0	141.18543908297127	141	18.181818181818183	59.318709
HSF4_2H_3_1	74.11710909332831	49.0	141.17199456259328	141	18.181818181818183	56.609339
HSF4_2H_3_2	74.04494104370283	49.0	141.15591615545978	141	18.181818181818183	56.609339
HSF4_4H_1_1	73.95291774005766	48.0	141.27295079317645	141	18.181818181818183	52.560373
HSF4_4H_1_2	73.81497239199572	48.0	141.25803869390347	141	18.181818181818183	52.560373
HSF4_4H_2_1	74.03820536339126	48.0	141.12281082208654	141	18.181818181818183	51.466637
HSF4_4H_2_2	74.00831649243588	48.0	140.79388855347202	141	18.181818181818183	51.466637
HSF4_4H_3_1	73.14539485897649	49.0	141.2638056718503	141	18.181818181818183	51.403402
HSF4_4H_3_2	73.25303659457333	49.0	141.07171755869388	141	18.181818181818183	51.403402
HSF4_6H_1_1	75.67381242141056	48.0	141.18328030234326	141	18.181818181818183	50.666914999999996
HSF4_6H_1_2	75.6821022840754	48.0	140.91607923040115	141	18.181818181818183	50.666914999999996
HSF4_6H_2_1	74.7449568860008	49.0	141.24122410196193	141	18.181818181818183	52.970276999999996
HSF4_6H_2_2	74.59870981198986	49.0	141.2178436786351	141	18.181818181818183	52.970276999999996
HSF4_6H_3_1	74.01825723351953	50.0	141.1847070427064	141	18.181818181818183	54.598982
HSF4_6H_3_2	74.11379508016137	50.0	141.16688324884885	141	18.181818181818183	54.598982
